DataHora;Setpoint;Variavel_Controlada;Erro;Variável_Manipulada;Tipo_Controle;Período
18/01/2026 - 20:28:18,082;11,45;3,34;8,11;-4,25;AvançoFase;4,8
18/01/2026 - 20:28:18,506;8,97;3,24;5,73;-1,52;AvançoFase;4,8
18/01/2026 - 20:28:18,928;8;3,26;4,74;3,72;AvançoFase;4,8
18/01/2026 - 20:28:19,351;8,83;3,34;5,49;9,26;AvançoFase;4,8
18/01/2026 - 20:28:19,768;11,19;6,19;5;11,11;AvançoFase;4,8
18/01/2026 - 20:28:20,095;14,31;11,15;3,16;0,82;AvançoFase;4,8
18/01/2026 - 20:28:20,512;16,79;19,55;-2,76;-12,79;AvançoFase;4,8
18/01/2026 - 20:28:20,943;19,18;27,29;-8,11;-21,59;AvançoFase;4,8
18/01/2026 - 20:28:21,377;20;33,59;-13,59;-26,66;AvançoFase;4,8
18/01/2026 - 20:28:21,803;18,98;33,9;-14,92;-26,83;AvançoFase;4,8
18/01/2026 - 20:28:22,123;16,44;33,46;-17,02;-23,63;AvançoFase;4,8
18/01/2026 - 20:28:22,552;14,02;33,57;-19,55;-31,25;AvançoFase;4,8
18/01/2026 - 20:28:23,065;10,13;26,88;-16,75;-10,6;AvançoFase;4,8
18/01/2026 - 20:28:23,382;8,67;16,4;-7,73;5,92;AvançoFase;4,8
18/01/2026 - 20:28:23,795;8,02;10,33;-2,31;22,48;AvançoFase;4,8
18/01/2026 - 20:28:24,125;9,14;13,23;-4,09;2,62;AvançoFase;4,8
18/01/2026 - 20:28:24,550;10,99;23,93;-12,94;-18,17;AvançoFase;4,8
18/01/2026 - 20:28:24,979;15,03;31,12;-16,09;-26,08;AvançoFase;4,8
18/01/2026 - 20:28:25,408;17,37;34,37;-17;-14,55;AvançoFase;4,8
18/01/2026 - 20:28:25,834;19,48;31,88;-12,4;-8,16;AvançoFase;4,8
18/01/2026 - 20:28:26,157;19,94;28,75;-8,81;0,14;AvançoFase;4,8
18/01/2026 - 20:28:26,582;18,55;24,92;-6,37;-0,35;AvançoFase;4,8
18/01/2026 - 20:28:27,009;15,82;23,36;-7,54;-10,06;AvançoFase;4,8
18/01/2026 - 20:28:27,437;13,33;24,03;-10,7;-18,64;AvançoFase;4,8
18/01/2026 - 20:28:27,971;10,27;25,4;-15,13;-25,65;AvançoFase;4,8
18/01/2026 - 20:28:28,185;8,35;25,64;-17,29;-23,58;AvançoFase;4,8
18/01/2026 - 20:28:28,610;8,14;22,14;-14;-4,64;AvançoFase;4,8
18/01/2026 - 20:28:29,032;9,72;16,76;-7,04;12,68;AvançoFase;4,8
18/01/2026 - 20:28:29,456;11,77;12,79;-1,02;22,08;AvançoFase;4,8
18/01/2026 - 20:28:29,880;15,04;14,53;0,51;11,41;AvançoFase;4,8
18/01/2026 - 20:28:30,200;17,98;19,78;-1,8;-3,01;AvançoFase;4,8
18/01/2026 - 20:28:30,734;19,76;33,18;-13,42;-33,84;AvançoFase;4,8
18/01/2026 - 20:28:31,055;19,77;38,24;-18,47;-39,45;AvançoFase;4,8
18/01/2026 - 20:28:31,479;18,61;35,9;-17,29;-19,76;AvançoFase;4,8
18/01/2026 - 20:28:31,908;15,87;29,69;-13,82;-10,14;AvançoFase;4,8
18/01/2026 - 20:28:32,224;12,56;23,71;-11,15;-2,51;AvançoFase;4,8
18/01/2026 - 20:28:32,752;9,72;12,41;-2,69;10,36;AvançoFase;4,8
18/01/2026 - 20:28:33,068;8,14;8,03;0,11;15,52;AvançoFase;4,8
18/01/2026 - 20:28:33,497;8,11;7,12;0,99;10,4;AvançoFase;4,8
18/01/2026 - 20:28:33,923;9,61;12,34;-2,73;-3,25;AvançoFase;4,8
18/01/2026 - 20:28:34,244;12,45;17,79;-5,34;-10,48;AvançoFase;4,8
18/01/2026 - 20:28:34,779;15,76;28,59;-12,83;-21,91;AvançoFase;4,8
18/01/2026 - 20:28:35,206;18,53;33,52;-14,99;-22,81;AvançoFase;4,8
18/01/2026 - 20:28:35,527;19,73;37,69;-17,96;-18,85;AvançoFase;4,8
18/01/2026 - 20:28:35,953;19,79;40,34;-20,55;-31,22;AvançoFase;4,8
18/01/2026 - 20:28:36,381;18,07;36,52;-18,45;-18,93;AvançoFase;4,8
18/01/2026 - 20:28:36,808;15,12;30,77;-15,65;-12,26;AvançoFase;4,8
18/01/2026 - 20:28:37,129;11,82;26,5;-14,68;-9,21;AvançoFase;4,8
18/01/2026 - 20:28:37,541;9,72;20,14;-10,42;-1,16;AvançoFase;4,8
18/01/2026 - 20:28:38,079;8,02;14,05;-6,03;8,79;AvançoFase;4,8
18/01/2026 - 20:28:38,396;8,33;11,11;-2,78;12,45;AvançoFase;4,8
18/01/2026 - 20:28:38,824;10,15;13,7;-3,55;6,08;AvançoFase;4,8
18/01/2026 - 20:28:39,144;13,22;17,93;-4,71;-4,18;AvançoFase;4,8
18/01/2026 - 20:28:39,573;16,48;25,03;-8,55;-12,24;AvançoFase;4,8
18/01/2026 - 20:28:40,000;19,02;31,06;-12,04;-22,87;AvançoFase;4,8
18/01/2026 - 20:28:40,428;19,92;35,32;-15,4;-24,7;AvançoFase;4,8
18/01/2026 - 20:28:40,854;19,53;36,9;-17,37;-27,09;AvançoFase;4,8
18/01/2026 - 20:28:41,174;17,46;35,4;-17,94;-21,23;AvançoFase;4,8
18/01/2026 - 20:28:41,603;14,34;32,25;-17,91;-20,49;AvançoFase;4,8
18/01/2026 - 20:28:42,133;11,1;24,5;-13,4;-4,85;AvançoFase;4,8
18/01/2026 - 20:28:42,450;9,22;14,57;-5,35;7,87;AvançoFase;4,8
18/01/2026 - 20:28:42,872;8,02;9,07;-1,05;17,12;AvançoFase;4,8
18/01/2026 - 20:28:43,191;8,61;11,32;-2,71;3,75;AvançoFase;4,8
18/01/2026 - 20:28:43,619;10,83;19,17;-8,34;-14,59;AvançoFase;4,8
18/01/2026 - 20:28:44,045;14,02;28,6;-14,58;-25,47;AvançoFase;4,8
18/01/2026 - 20:28:44,473;16,45;34,7;-18,25;-23,98;AvançoFase;4,8
18/01/2026 - 20:28:44,900;18,98;34,54;-15,56;-10,1;AvançoFase;4,8
18/01/2026 - 20:28:45,221;20;32,93;-12,93;-7,87;AvançoFase;4,8
18/01/2026 - 20:28:45,753;19,18;27,04;-7,86;-1,99;AvançoFase;4,8
18/01/2026 - 20:28:46,071;16,82;24,4;-7,58;-3,99;AvançoFase;4,8
18/01/2026 - 20:28:46,498;14,38;23,37;-8,99;-14,85;AvançoFase;4,8
18/01/2026 - 20:28:47,033;11,21;24,3;-13,09;-22,04;AvançoFase;4,8
18/01/2026 - 20:28:47,356;8,82;24,2;-15,38;-21,53;AvançoFase;4,8
18/01/2026 - 20:28:47,782;8;23,04;-15,04;-13,1;AvançoFase;4,8
18/01/2026 - 20:28:48,102;9,03;21,63;-12,6;-1,69;AvançoFase;4,8
18/01/2026 - 20:28:48,529;10,85;20,18;-9,33;5,87;AvançoFase;4,8
18/01/2026 - 20:28:48,954;14,88;20,31;-5,43;7,29;AvançoFase;4,8
18/01/2026 - 20:28:49,382;17,21;22,89;-5,68;2,77;AvançoFase;4,8
18/01/2026 - 20:28:49,898;19,41;28,54;-9,13;-10,3;AvançoFase;4,8
18/01/2026 - 20:28:50,095;19,96;31,18;-11,22;-17,69;AvançoFase;4,8
18/01/2026 - 20:28:50,522;19,3;36,49;-17,19;-34,57;AvançoFase;4,8
18/01/2026 - 20:28:50,950;17,01;36,27;-19,26;-24,21;AvançoFase;4,8
18/01/2026 - 20:28:51,464;13,8;33,9;-20,1;-28,85;AvançoFase;4,8
18/01/2026 - 20:28:51,783;10,77;28,14;-17,37;-15,4;AvançoFase;4,8
18/01/2026 - 20:28:52,103;8,59;21,81;-13,22;0,98;AvançoFase;4,8
18/01/2026 - 20:28:52,525;8;11,98;-3,98;22,21;AvançoFase;4,8
18/01/2026 - 20:28:53,056;9,27;9,88;-0,61;16,68;AvançoFase;4,8
18/01/2026 - 20:28:53,378;11,16;16,95;-5,79;-0,82;AvançoFase;4,8
18/01/2026 - 20:28:53,804;14,42;26,32;-11,9;-20,73;AvançoFase;4,8
18/01/2026 - 20:28:54,125;17,53;32,37;-14,84;-27,4;AvançoFase;4,8
18/01/2026 - 20:28:54,510;19,18;33,75;-14,57;-13,01;AvançoFase;4,8
